age,income,loan_amount,credit_score,employment_years,existing_debt,num_credit_lines,default
31,50671.44,10522.25,605.0,0.4,12373.27,13,0
48,57835.71,4534.49,619.0,0.6,17928.45,10,0
45,44921.61,16813.09,705.0,3.8,12625.86,10,0
43,34847.99,17018.95,576.0,3.6,10557.86,13,0
51,35541.58,6863.6,597.0,1.6,11934.09,5,0
50,79259.45,10951.63,786.0,8.8,14624.14,11,0
62,29964.85,16204.61,416.0,1.0,9870.31,7,0
55,62263.65,20967.89,688.0,2.2,11982.17,11,0
27,65390.93,9809.02,547.0,4.1,4607.51,14,0
36,52574.49,8656.19,586.0,10.1,2142.73,4,0
46,90356.58,30300.44,764.0,2.7,4965.24,8,0
22,65034.38,12807.79,656.0,2.5,6041.86,12,1
21,91858.06,16995.47,850.0,4.3,5797.01,13,0
32,41978.72,20186.92,700.0,1.9,14879.86,9,0
25,42321.09,1000.0,584.0,6.2,0.0,9,0
57,65550.74,14851.78,695.0,1.4,6717.61,9,0
52,49770.69,1834.27,740.0,8.7,12459.68,2,0
29,88713.31,13953.78,692.0,1.6,12240.58,3,0
61,61834.01,25984.99,633.0,24.6,3086.4,5,0
55,34108.52,7012.25,515.0,1.9,18432.31,12,0
39,20263.67,1668.65,624.0,10.6,0.0,1,0
36,53435.23,30101.49,783.0,2.5,5900.2,4,0
23,53217.54,5823.54,586.0,1.4,6141.03,11,0
40,61275.32,3011.37,617.0,1.3,6080.9,14,0
44,79213.81,27952.25,729.0,9.5,16158.2,14,0
53,76582.27,5508.24,700.0,1.8,8095.78,5,0
44,43421.98,28159.31,545.0,2.1,9918.65,9,0
31,29123.61,17192.73,641.0,1.1,13275.9,8,0
28,30317.58,25271.66,763.0,16.3,4162.51,1,0
56,40263.97,16488.53,652.0,1.4,7071.62,14,0
58,47665.37,23637.62,764.0,1.4,18056.41,13,0
60,61101.24,7652.41,769.0,14.4,10269.46,12,0
40,38980.65,10091.18,576.0,11.6,1430.14,3,0
55,60607.84,1000.0,626.0,1.4,2861.85,14,0
45,62240.8,22774.25,703.0,10.0,13351.6,14,0
55,57866.88,18356.55,527.0,1.4,1223.16,3,0
45,32427.54,6941.4,632.0,0.4,5162.06,11,0
49,64356.53,1008.78,694.0,8.6,9219.81,6,0
38,96625.39,17254.51,600.0,7.4,8081.73,4,0
38,59917.94,28407.64,697.0,1.7,16899.31,4,0
22,15000.0,13896.31,602.0,0.5,0.0,1,0
55,79817.59,9732.43,601.0,1.2,10891.68,12,0
36,40945.04,7503.41,710.0,7.4,6304.5,10,0
61,100314.25,24994.79,759.0,16.7,15902.05,13,0
56,57327.27,8766.02,593.0,1.5,6586.24,12,0
53,21305.99,12030.57,553.0,8.5,6760.1,11,0
24,15000.0,23333.88,647.0,1.3,7975.54,4,1
53,85794.82,20099.85,687.0,5.7,4033.16,1,0
34,77118.1,12336.73,592.0,0.4,4454.52,5,0
41,99520.38,9408.18,783.0,4.4,7106.27,13,0
40,55218.49,26724.63,638.0,1.6,17869.83,3,0
28,53869.4,6069.04,592.0,13.0,5051.9,13,0
27,47345.62,13317.72,805.0,1.7,3875.02,10,0
23,41834.2,2952.99,751.0,2.5,5599.11,5,0
37,47151.41,24510.94,592.0,9.2,8020.38,14,0
53,59349.27,11200.91,735.0,2.9,18754.67,3,0
32,38121.98,9402.99,598.0,1.4,3417.29,5,0
42,21614.21,20293.3,711.0,4.0,22994.56,4,1
42,58197.53,3595.88,792.0,9.2,10713.8,9,0
50,37676.09,20083.05,553.0,2.8,1998.04,14,0
58,15000.0,12115.66,607.0,0.7,4716.47,6,1
58,66051.35,5357.61,609.0,2.4,0.0,12,0
28,32838.82,7077.9,671.0,15.4,8640.09,14,0
47,68235.79,9526.4,688.0,0.4,14309.21,10,0
47,67756.96,11447.65,643.0,2.6,8186.53,2,0
54,60671.8,5411.79,515.0,5.2,12816.84,1,0
41,104936.36,17356.13,552.0,0.4,10570.92,1,0
50,52238.96,5202.22,579.0,2.1,15260.81,1,0
53,49287.21,1000.0,695.0,14.1,2121.57,9,0
48,68673.45,30356.96,538.0,0.2,13297.29,5,0
53,53891.05,16583.42,577.0,7.0,19320.66,14,1
25,78209.87,31075.93,559.0,9.2,23391.79,4,0
39,29623.88,6650.73,677.0,1.6,16521.96,10,0
24,29956.51,18838.36,741.0,1.2,9028.83,5,0
55,70316.19,22156.87,662.0,12.3,2208.36,9,0
37,31703.78,13485.23,809.0,7.2,3100.26,3,0
64,67181.97,3444.4,662.0,0.6,6960.95,3,0
48,62400.06,12884.15,642.0,1.2,19159.53,12,0
50,41110.23,20011.18,587.0,4.9,4817.78,2,0
49,62343.4,19705.76,666.0,2.7,9077.58,8,0
26,30308.15,14986.97,584.0,3.5,13644.58,7,0
55,35002.0,22178.3,572.0,15.1,0.0,2,0
61,50256.25,21800.69,569.0,2.7,1619.52,4,0
57,56578.56,10810.66,632.0,10.7,19719.03,7,0
44,48927.23,2836.64,610.0,5.4,14257.41,1,0
49,63662.32,16523.47,850.0,0.6,14297.87,1,0
51,62769.33,9026.9,667.0,6.8,2363.03,8,0
55,85587.34,16149.99,665.0,3.7,16709.01,6,0
53,53094.29,25764.24,606.0,1.3,3098.35,2,1
41,78891.27,18499.94,850.0,1.7,8549.29,10,0
52,73414.51,25370.05,576.0,4.1,12168.15,10,0
43,100879.55,6908.16,612.0,4.6,12997.32,1,0
53,52454.84,23699.65,730.0,17.2,10961.29,3,0
23,46592.83,28412.78,666.0,9.6,6794.42,12,0
38,80153.88,15514.58,548.0,1.2,0.0,4,0
45,62708.65,33576.43,652.0,7.4,8494.12,13,0
62,80633.18,8140.55,704.0,0.0,0.0,5,0
51,69335.98,9889.33,691.0,0.7,11405.48,11,0
23,15000.0,20199.48,703.0,1.1,2128.04,10,1
60,62526.44,15435.72,825.0,4.5,7042.83,3,0
44,61224.32,9056.74,672.0,1.1,4930.8,13,0
52,57662.14,19952.83,714.0,2.3,11396.07,14,0
42,52355.14,17844.33,456.0,1.4,3259.38,5,0
43,23157.13,10309.79,799.0,2.1,9537.27,12,0
22,72483.54,16512.41,655.0,14.3,9107.29,7,0
47,62475.37,21072.2,581.0,29.7,8394.62,11,0
62,77039.13,10132.33,634.0,5.8,10356.05,9,0
22,24224.89,19135.97,703.0,4.2,785.08,5,0
46,65142.69,8063.65,733.0,6.2,1004.67,4,0
37,50306.81,9609.4,642.0,7.4,16600.85,10,0
60,57875.76,23892.7,698.0,6.7,0.0,11,0
53,50536.81,19909.97,629.0,0.4,20998.09,13,0
29,65872.16,1000.0,689.0,1.9,7173.42,9,0
63,51742.54,12006.2,667.0,2.1,2897.12,8,0
59,33961.7,18917.57,674.0,2.3,13166.89,5,0
49,56728.51,16110.92,625.0,2.1,4626.6,9,0
62,50716.51,19945.63,682.0,7.7,10029.18,11,0
46,53332.13,15927.85,584.0,6.9,15458.49,14,1
55,15000.0,13939.22,666.0,0.0,12279.53,9,1
45,68652.72,13694.7,599.0,1.8,10558.96,1,0
44,48706.73,23729.43,571.0,4.9,11927.79,12,1
33,28036.93,20559.52,594.0,0.6,8240.44,6,1
27,73451.27,18237.95,633.0,0.4,12866.57,11,0
56,67727.31,15710.66,608.0,8.8,1563.33,5,0
40,48453.6,10609.45,682.0,3.0,16754.7,6,0
21,31956.61,12545.97,656.0,9.7,7062.76,10,0
28,58560.61,23517.37,731.0,8.7,9063.09,3,0
36,57462.12,22764.02,643.0,11.2,6118.69,14,0
34,73486.69,9811.42,664.0,0.2,11636.67,3,0
32,46125.29,15799.36,799.0,1.0,14324.74,10,0
43,78898.44,18987.74,615.0,1.8,2047.58,5,0
35,44194.94,18465.48,627.0,0.7,7584.3,7,0
48,28083.36,18403.86,746.0,3.3,9019.13,4,0
54,32354.34,6103.4,573.0,8.0,10617.94,6,0
22,53751.77,5628.13,755.0,15.1,6250.65,5,0
52,53689.71,24361.56,631.0,11.0,5408.25,2,0
43,61557.22,27072.2,583.0,3.1,13316.61,13,0
42,53192.52,3147.83,722.0,5.1,11051.83,11,0
45,74546.37,14777.92,630.0,1.3,9292.79,12,0
42,49778.12,21512.41,796.0,2.6,15496.43,1,0
42,15074.47,1000.0,656.0,10.2,0.0,6,0
62,52578.07,6413.3,656.0,0.1,12790.72,5,0
26,15000.0,14262.42,603.0,3.8,10241.77,9,1
35,60427.82,10222.09,638.0,10.3,0.0,12,0
63,76143.86,16673.15,628.0,0.7,14997.96,7,0
57,35275.51,26763.86,757.0,20.2,11539.18,1,0
53,83371.13,8177.62,673.0,0.1,12340.05,13,0
28,71856.62,15402.18,706.0,10.9,6178.07,10,0
64,79129.6,12241.63,658.0,2.2,12575.54,6,0
64,58791.28,16090.92,617.0,0.7,3614.36,11,0
25,35144.7,15046.4,680.0,0.9,0.0,7,0
59,70616.31,36097.59,777.0,6.0,7921.67,3,0
24,42507.98,26916.62,566.0,10.2,12050.06,14,0
26,57357.69,2352.52,684.0,5.1,14089.55,9,0
52,51572.98,7798.92,770.0,13.2,8904.14,11,0
50,77493.92,8777.14,585.0,9.2,8441.2,14,0
55,69606.54,5125.8,724.0,0.0,14085.92,14,0
60,53388.68,4053.1,724.0,5.5,5996.38,11,0
36,15967.86,13573.07,546.0,1.8,4627.25,2,0
33,42295.45,9082.5,739.0,3.0,17709.43,1,0
62,69084.45,7873.65,602.0,0.5,6333.43,10,0
50,60602.21,31163.79,679.0,1.7,13499.68,10,0
39,24935.56,9632.98,732.0,5.0,16157.78,12,0
37,18868.24,11454.66,746.0,1.2,9260.04,9,0
39,58910.18,20931.65,527.0,5.2,9583.11,7,0
48,33858.86,11427.77,793.0,12.8,18786.82,10,0
46,35784.07,5674.61,763.0,0.0,152.17,13,0
57,68452.15,12936.48,734.0,7.7,50.41,11,0
46,79044.78,31069.87,679.0,5.1,12893.23,1,0
43,39985.96,11148.46,615.0,0.2,5547.47,4,0
29,54104.79,7705.87,563.0,7.8,13168.97,10,0
32,53515.07,18361.84,520.0,1.3,7661.44,13,0
21,51715.92,12552.68,702.0,1.5,12996.63,3,0
21,55811.97,36911.95,734.0,0.5,2711.23,11,0
54,70129.98,8704.82,643.0,3.8,11678.73,7,0
52,41521.51,28869.85,613.0,3.4,4994.21,5,0
45,24494.45,24307.12,656.0,2.1,12321.38,9,1
60,88800.2,11949.24,599.0,0.9,22187.58,11,0
21,76788.44,14971.88,652.0,9.1,3173.04,3,0
36,32927.24,6760.96,594.0,10.5,5875.47,11,0
59,57712.64,10692.47,699.0,3.9,7233.54,6,0
25,75214.04,11892.43,750.0,1.4,9936.51,10,0
42,69980.88,16262.83,691.0,0.5,0.0,2,0
49,64240.27,3698.56,644.0,10.1,8199.43,3,0
23,51595.46,17491.88,729.0,0.5,6689.1,4,0
32,89546.08,13833.05,652.0,0.1,6731.35,6,0
46,59417.18,18184.86,727.0,3.2,9767.21,11,0
36,44700.81,19378.45,599.0,6.6,10124.43,1,0
57,72421.51,13192.52,609.0,3.1,10031.5,6,0
42,56921.17,18905.58,571.0,0.3,1537.73,4,0
49,61995.95,14302.59,613.0,5.9,6497.64,8,0
34,59062.98,20947.78,729.0,5.1,6245.77,9,0
48,64935.51,17529.01,580.0,5.7,11163.76,8,0
25,35430.87,16448.33,466.0,1.2,2203.47,8,1
50,25977.87,14180.43,617.0,7.9,9160.21,13,0
25,83682.65,25366.53,556.0,3.3,17653.15,13,0
32,59991.69,18241.48,610.0,3.8,0.0,2,0
36,70416.95,4428.3,819.0,3.9,6980.54,14,0
46,19804.82,11224.39,579.0,1.7,0.0,10,0
46,76333.66,13171.32,701.0,1.4,8001.64,2,0
41,44570.29,14991.01,644.0,0.0,13012.78,6,0
59,38875.64,16413.66,680.0,2.5,4934.52,5,0
56,53732.54,7446.27,609.0,3.3,13556.36,6,0
53,35440.4,14456.02,743.0,6.8,16165.03,9,1
50,54965.37,12487.03,684.0,0.3,10410.65,12,0
57,52273.23,23677.95,686.0,12.9,4910.16,10,0
43,76207.92,7039.37,658.0,1.5,11216.03,7,0
30,85266.89,14860.97,750.0,2.3,18085.34,5,0
25,84630.32,9516.92,695.0,0.2,13.16,10,0
56,15000.0,29903.97,680.0,5.3,14648.93,7,1
54,36296.66,25052.91,702.0,6.2,266.5,8,0
51,15000.0,1861.14,509.0,13.2,0.0,11,0
30,31129.15,8630.29,665.0,2.1,598.88,12,0
39,42009.64,21967.39,645.0,1.5,7763.68,1,0
52,63211.23,18658.26,743.0,6.5,15577.95,10,0
21,44601.34,18407.45,594.0,6.1,0.0,11,0
25,45158.6,16526.82,666.0,13.8,13937.24,11,0
24,58635.29,22609.6,804.0,1.1,7081.37,7,0
36,20813.81,21247.81,648.0,6.1,1382.67,4,0
44,38228.14,12675.55,544.0,0.3,11549.46,5,0
36,44928.87,5405.93,824.0,3.3,5151.01,13,0
22,50951.96,1479.48,593.0,0.6,21553.42,2,0
48,56539.08,14170.89,567.0,5.3,10990.77,10,0
52,85013.0,1000.0,570.0,4.6,8335.73,5,0
47,73166.72,17007.97,708.0,0.3,11889.31,9,0
40,39613.8,12535.75,754.0,1.9,16061.14,1,0
44,49773.42,30551.29,791.0,2.5,16644.98,3,0
32,48411.22,17745.03,651.0,1.4,13568.23,4,0
55,44716.95,14766.2,571.0,0.2,16260.8,9,0
53,60450.32,2070.64,604.0,1.9,15219.59,2,0
53,17804.41,4901.43,653.0,7.9,13455.75,7,0
63,72614.29,20450.83,648.0,2.2,5634.1,9,0
57,88871.02,12495.23,755.0,2.0,15543.42,12,0
32,49603.19,35283.01,545.0,14.2,5428.16,10,0
23,49212.71,14335.59,561.0,0.2,9581.42,4,0
21,58140.88,16351.38,625.0,7.3,5743.05,5,0
53,75387.72,4464.82,680.0,3.3,12043.89,12,0
60,48514.13,22579.45,615.0,14.5,15677.38,12,0
